Account Length,VMail Message,Day Mins,Eve Mins,Night Mins,Intl Mins,CustServ Calls,Churn,Int'l Plan,VMail Plan,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Calls,Night Charge,Intl Calls,Intl Charge,State,Area Code,Phone
112,0,162,201,134,11,1,0,1,0,138,28,114,17,134,6,4,3,WV,415,330-2693
35,27,242,142,289,9,1,0,0,1,87,41,101,12,68,13,4,3,WI,510,403-7627
103,0,63,170,280,9,3,0,1,0,124,11,66,14,78,13,4,3,KS,408,342-3678
107,22,281,144,239,11,1,0,0,1,83,48,130,12,128,11,9,3,MO,415,344-9943
69,0,228,264,143,11,3,0,0,0,70,39,80,22,60,6,5,3,PA,415,390-5686
85,0,210,195,200,11,0,0,0,0,82,36,94,17,85,9,3,3,SD,408,358-5826
24,0,266,209,183,11,2,1,0,0,86,45,102,18,105,8,6,3,NJ,408,393-7826
90,0,215,118,134,12,2,0,0,0,97,37,117,10,78,6,2,3,AL,415,335-9786
137,0,111,223,170,11,3,0,0,0,79,19,111,19,64,8,3,3,ME,510,368-9860
92,45,281,198,94,8,0,0,1,1,88,48,103,17,76,4,3,2,AZ,415,416-9522
38,0,138,286,167,14,2,0,0,0,86,23,76,24,77,8,3,4,VT,415,416-7307
69,33,272,253,165,8,1,1,1,1,98,46,102,22,85,7,2,2,NV,510,397-6789
45,0,113,219,240,9,2,0,0,0,108,19,120,19,106,11,3,2,WI,408,335-9501
73,0,187,240,168,15,1,0,0,0,118,32,90,20,108,8,2,4,HI,408,388-1250
92,0,197,269,159,11,1,0,0,0,84,33,105,23,105,7,4,3,DE,415,386-1374
113,32,180,129,167,8,1,0,0,1,89,31,124,11,124,8,2,2,AZ,415,346-8112
68,0,149,219,199,15,1,1,1,0,126,25,125,19,121,9,7,4,VA,408,364-9040
135,22,197,259,135,15,2,0,0,1,113,34,95,22,135,6,5,4,GA,415,366-3944
100,26,154,138,214,16,1,0,0,1,115,26,146,12,104,10,5,4,AZ,415,331-9861
96,27,261,221,179,11,1,0,0,1,96,44,101,19,97,8,2,3,MN,415,330-2881
108,0,246,202,180,9,1,0,0,0,102,42,134,17,95,8,5,3,ME,510,402-9558
84,0,191,319,247,7,0,0,0,0,88,32,119,27,79,11,4,2,FL,510,341-3180
134,0,208,254,291,13,1,0,0,0,86,35,89,22,86,13,3,3,WA,408,371-8598
72,0,253,219,211,10,0,0,0,0,73,43,78,19,89,9,4,3,MT,415,398-8385
83,0,202,202,102,7,0,0,0,0,87,34,111,17,82,5,4,2,AL,408,333-4154
137,0,174,156,137,10,0,0,0,0,120,30,98,13,121,6,5,3,WV,408,330-3589
56,30,127,172,195,12,1,0,0,1,89,22,116,15,111,9,3,3,GA,415,417-1477
61,16,144,243,148,11,0,0,1,1,76,24,58,21,95,7,3,3,OH,510,327-5525
171,17,187,240,201,6,1,0,0,1,94,32,138,20,64,9,3,2,DE,510,363-8244
123,0,194,242,146,12,1,0,0,0,118,33,114,21,108,7,4,3,NE,510,419-9104
58,0,235,107,179,10,0,0,0,0,89,40,131,9,122,8,6,3,FL,510,363-1560
156,0,124,103,189,13,1,0,0,0,96,21,80,9,82,9,4,4,AK,510,341-4075
166,0,174,276,191,15,0,0,0,0,103,30,83,23,113,9,5,4,WI,510,366-9074
75,41,131,203,172,12,1,0,0,1,115,22,110,17,68,8,4,3,WA,510,367-1424
75,0,315,170,285,6,2,1,0,0,102,53,86,14,100,13,3,2,KY,415,341-1191
83,0,228,208,212,12,1,0,0,0,78,39,115,18,100,10,5,3,OH,510,342-9480
243,0,96,164,264,7,2,0,0,0,92,16,63,14,118,12,6,2,UT,510,355-9360
153,0,185,208,206,15,1,0,0,0,127,32,73,18,124,9,3,4,NM,408,343-1538
150,0,146,203,235,13,1,0,0,0,133,25,95,17,103,11,3,4,MN,415,335-2331
92,16,184,76,185,13,2,0,0,1,99,31,134,6,96,8,3,3,WV,510,335-7257
80,0,106,44,190,13,0,0,0,0,110,18,88,4,87,9,5,4,MN,415,332-2137
134,0,178,154,237,12,1,0,0,0,110,30,64,13,105,11,4,3,AL,415,352-2998
77,24,149,124,174,10,1,0,0,1,74,25,72,11,84,8,6,3,PA,510,346-6941
147,0,209,133,149,11,2,0,0,0,104,36,78,11,123,7,3,3,DE,510,400-2203
74,0,172,212,182,12,1,0,0,0,105,29,99,18,105,8,6,3,MO,415,421-2955
138,0,169,218,184,9,1,0,1,0,82,29,147,19,77,8,9,3,IL,510,331-6629
143,0,119,288,223,12,0,0,0,0,117,20,136,24,100,10,4,3,FL,415,343-6314
64,0,194,173,269,6,2,0,0,0,147,33,87,15,114,12,2,1,HI,415,414-6638
120,0,199,230,120,10,2,0,0,0,56,34,73,20,81,5,3,3,ME,510,350-5883
121,0,168,94,241,13,3,1,1,0,94,29,121,8,115,11,1,4,CO,408,409-4447
88,0,202,217,239,12,2,0,0,0,86,34,93,18,99,11,2,3,NH,415,376-4856
87,0,323,205,186,9,2,1,0,0,106,55,93,17,128,8,4,3,SC,408,335-1874
100,0,216,216,138,10,0,0,0,0,107,37,84,18,127,6,3,3,IN,510,397-6255
104,0,76,116,226,9,3,0,0,0,116,13,74,10,94,10,3,3,FL,415,381-5047
27,0,73,209,66,10,1,0,0,0,75,12,117,18,71,3,3,3,GA,510,403-6850
81,31,210,226,169,10,0,0,0,1,100,36,97,19,120,8,4,3,IL,415,375-3658
64,33,127,163,247,8,0,0,1,1,93,22,104,14,109,11,13,2,NC,510,341-2603
107,28,202,305,226,12,1,0,0,1,79,34,128,26,133,10,8,3,VT,510,342-5062
88,17,220,222,188,16,1,0,0,1,78,37,94,19,92,8,5,4,DC,415,354-1558
111,0,99,271,225,9,3,0,0,0,112,17,136,23,94,10,6,2,VT,408,351-9537
77,0,239,150,161,10,5,0,0,0,114,41,115,13,81,7,2,3,NV,415,401-1252
67,0,121,235,95,11,2,0,1,0,58,21,88,20,130,4,11,3,OR,415,366-9538
102,0,225,129,168,16,1,0,0,0,81,38,112,11,109,8,6,4,AL,408,364-7622
146,19,177,163,216,15,1,0,0,1,88,30,66,14,98,10,6,4,ND,408,393-9918
144,51,284,192,196,10,1,0,0,1,98,48,109,16,85,9,4,3,FL,415,376-4484
96,0,181,191,296,10,1,1,0,0,92,31,114,16,125,13,4,3,NE,415,410-6791
70,31,126,196,253,10,1,0,0,1,101,21,102,17,75,11,4,3,ND,415,343-2392
149,0,238,192,207,9,0,0,0,0,79,40,107,16,111,9,9,2,ME,408,408-4323
129,0,198,265,111,9,2,0,0,0,91,34,106,23,101,5,2,2,IL,415,395-1718
166,0,274,53,246,11,0,0,0,0,110,47,109,5,119,11,5,3,WA,408,354-9492
136,0,200,211,72,11,3,1,1,0,89,34,96,18,84,3,4,3,MA,408,367-8168
149,0,218,274,227,10,3,0,0,0,91,37,74,23,99,10,3,3,KS,510,340-3500
70,0,135,236,260,8,3,0,0,0,96,23,90,20,113,12,6,2,RI,415,369-4962
120,24,213,258,228,10,2,0,0,1,73,36,103,22,119,10,13,3,MO,415,334-8967
66,0,256,180,187,6,2,0,0,0,135,44,106,15,135,8,7,2,IA,510,402-2377
104,0,184,121,215,13,1,0,0,0,133,31,98,10,112,10,2,3,WY,408,366-3917
160,0,176,196,264,9,1,0,0,0,90,30,115,17,95,12,4,2,NV,415,333-3531
129,37,205,165,185,12,1,0,0,1,94,35,103,14,81,8,8,3,WI,415,333-8954
93,0,268,223,263,11,3,1,0,0,114,46,74,19,90,12,3,3,AL,408,374-9203
169,0,179,175,229,10,2,0,0,0,111,30,130,15,92,10,6,3,HI,415,334-3289
58,0,149,197,210,15,1,0,0,0,145,25,105,17,108,9,3,4,MO,415,353-7822
75,38,164,147,346,13,3,0,0,1,132,28,113,12,115,16,3,4,CA,510,350-1422
45,0,208,153,218,12,1,0,0,0,71,35,94,13,125,10,13,3,MO,408,385-8406
155,0,165,184,80,9,3,0,0,0,108,28,103,16,108,4,4,2,CT,510,380-7277
52,0,210,171,155,10,4,0,0,0,114,36,82,15,119,7,9,3,MD,415,352-1798
119,27,220,268,147,11,0,0,0,1,128,37,133,23,80,7,3,3,OH,415,385-7922
86,0,141,154,211,8,1,0,0,0,72,24,95,13,91,9,5,2,NV,510,353-7730
42,0,197,241,143,4,0,0,0,0,89,33,123,21,105,6,7,1,MD,408,337-7163
127,0,181,210,250,7,2,0,1,0,114,31,118,18,105,11,4,2,NE,510,348-5567
123,0,105,252,258,15,0,0,0,0,150,18,90,21,93,12,5,4,OH,408,420-9575
98,0,271,190,285,11,4,1,0,0,119,46,102,16,118,13,6,3,MA,510,366-3358
149,43,207,175,242,11,1,0,0,1,79,35,122,15,80,11,3,3,OK,510,359-9972
160,0,167,236,308,9,1,0,0,0,109,28,117,20,77,14,1,3,MA,408,387-3332
103,0,205,135,208,10,5,0,0,0,107,35,102,11,106,9,3,3,WA,415,354-6960
132,15,155,246,149,9,1,0,0,1,128,26,106,21,90,7,4,2,HI,415,405-3335
137,0,127,323,144,8,1,0,0,0,107,22,75,27,127,6,2,2,CO,415,379-4257
129,0,267,204,112,6,1,0,1,0,78,45,85,17,146,5,4,2,FL,415,355-4992
62,0,281,161,78,0,1,0,0,0,66,48,108,14,74,4,0,0,WI,415,383-6373
122,33,271,220,170,12,4,0,0,1,96,46,110,19,104,8,8,3,ID,510,382-7993
32,0,171,186,203,10,1,0,0,0,82,29,102,16,64,9,7,3,WY,408,422-5865
86,0,124,203,290,7,3,0,0,0,82,21,120,17,119,13,8,2,GA,510,410-9961
130,0,163,290,115,7,1,0,0,0,113,28,111,25,140,5,3,2,FL,415,343-9946
42,0,146,256,45,8,1,0,0,0,84,25,113,22,117,2,12,2,WY,408,357-7060
73,0,255,143,154,15,2,0,0,0,85,43,80,12,102,7,7,4,DE,415,355-9541
66,26,255,243,191,5,2,0,0,1,108,43,135,21,95,9,3,1,ME,408,378-4145
103,31,108,189,196,9,0,0,0,1,124,18,104,16,98,9,3,2,DC,510,386-2317
128,0,159,265,270,8,1,0,0,0,75,27,91,23,77,12,7,2,IA,408,335-8146
104,0,183,240,230,6,2,0,0,0,113,31,85,20,104,10,4,1,CO,415,377-2235
103,0,199,43,179,12,0,0,0,0,112,34,90,4,124,8,5,3,MN,415,386-9141
124,0,178,234,179,12,0,0,0,0,72,30,134,20,91,8,2,3,VT,415,416-5623
87,0,111,159,208,6,1,0,0,0,91,19,115,13,131,9,5,2,AZ,510,327-3053
109,27,167,221,197,12,1,1,0,1,85,28,92,19,97,9,4,3,LA,415,395-6195
167,0,245,61,177,11,2,0,1,0,91,42,105,5,110,8,3,3,MO,415,397-8772
97,0,121,170,194,12,4,1,0,0,96,21,101,14,63,9,3,3,ME,510,346-7656
106,0,165,210,187,9,2,0,0,0,118,28,101,18,93,8,3,2,MD,415,343-2350
125,0,127,156,206,14,2,0,0,0,113,22,131,13,112,9,7,4,VT,415,372-4722
108,35,216,201,195,16,0,0,0,1,106,37,107,17,107,9,7,4,DC,408,399-8615
125,0,140,210,264,8,1,0,0,0,132,24,126,18,77,12,2,2,WY,415,379-8248
89,32,210,250,224,9,1,0,0,1,113,36,104,21,92,10,7,2,VA,415,414-6219
72,29,140,138,221,6,0,0,1,1,114,24,91,12,88,10,6,1,VA,510,387-1343
23,0,322,252,141,11,2,1,0,0,107,55,115,21,158,6,3,3,CT,510,370-5527
149,0,167,219,208,8,7,0,0,0,61,28,107,19,131,9,6,2,HI,510,393-8736
73,0,214,197,158,6,0,0,0,0,90,36,78,17,112,7,8,2,WI,415,402-7626
61,0,260,211,235,9,1,1,0,0,123,44,127,18,70,11,3,2,MD,415,370-2688
161,0,192,71,205,13,4,1,0,0,113,33,87,6,107,9,4,4,WV,415,418-9036
73,0,213,189,136,14,0,0,0,0,95,36,104,16,89,6,3,4,VT,408,417-2035
118,24,118,110,246,17,1,0,0,1,83,20,72,9,73,11,2,5,UT,415,355-3602
23,0,190,166,220,15,6,0,0,0,89,32,108,14,73,10,4,4,CO,408,393-4027
127,25,82,163,265,5,0,0,0,1,95,14,109,14,104,12,6,1,NC,415,418-5141
42,32,164,178,190,8,0,0,0,1,80,28,123,15,106,9,5,2,NJ,415,406-1247
118,0,268,316,209,14,5,1,0,0,145,46,121,27,91,9,11,4,AR,415,402-3892
45,0,160,120,163,11,2,0,0,0,91,27,86,10,93,7,3,3,IA,510,332-2965
50,24,214,290,313,11,1,0,0,1,129,36,55,25,130,14,4,3,GA,408,377-1218
179,0,287,288,266,11,0,1,0,0,123,49,114,24,112,12,4,3,MO,510,355-2464
152,0,101,142,199,8,2,0,0,0,122,17,87,12,124,9,3,2,MO,408,404-4611
105,0,103,282,228,13,2,0,0,0,74,17,125,24,113,10,5,4,WY,415,373-2339
72,0,109,116,296,8,0,0,0,0,97,19,96,10,84,13,6,2,HI,415,410-3503
52,0,216,217,343,5,1,0,0,0,67,37,108,18,130,15,2,1,PA,408,410-4739
125,0,203,129,191,11,1,0,0,0,110,35,97,11,113,9,4,3,TX,415,365-3562
143,0,110,169,167,9,1,0,0,0,113,19,59,14,94,8,2,2,VA,510,387-7641
65,0,111,220,202,4,1,0,0,0,51,19,84,19,89,9,14,1,RI,415,385-9744
80,0,240,142,364,9,1,0,0,0,121,41,51,12,106,16,5,3,WI,415,398-5006
1,0,145,113,219,14,1,0,0,0,107,25,66,10,79,10,3,4,MS,415,408-3977
60,0,135,206,204,8,1,0,0,0,134,23,85,18,103,9,4,2,KY,408,334-2729
43,0,84,81,196,11,1,0,0,0,134,14,103,7,79,9,2,3,NC,415,334-7685
143,0,209,106,180,14,0,0,0,0,127,36,80,9,90,8,6,4,NV,415,350-9228
81,24,130,196,139,11,0,0,0,1,117,22,61,17,123,6,5,3,UT,415,407-5774
205,24,176,155,181,8,2,0,0,1,139,30,98,13,64,8,5,2,ME,510,413-4039
24,0,242,145,215,7,1,0,0,0,104,41,112,12,105,10,5,2,HI,415,343-2077
74,0,137,229,265,10,0,0,0,0,106,23,105,19,114,12,4,3,OH,415,336-5661
77,0,68,196,237,12,1,0,0,0,68,12,86,17,137,11,2,3,WV,510,355-4143
74,0,200,309,152,10,1,0,0,0,87,34,105,26,118,7,2,3,OK,415,366-5918
74,0,126,208,207,14,1,1,1,0,103,21,96,18,143,9,4,4,KY,510,368-7555
200,0,128,133,178,11,1,0,0,0,87,22,105,11,123,8,2,3,AL,408,408-2119
86,0,226,223,256,13,4,0,0,0,88,38,107,19,92,12,3,4,MD,408,329-2789
91,37,162,234,277,9,0,0,0,1,107,28,115,20,94,12,4,2,NE,510,334-1508
76,0,224,148,184,7,2,0,0,0,121,38,97,13,74,8,2,2,DC,415,337-1506
130,0,121,190,270,14,1,0,0,0,127,20,52,16,107,12,2,4,TX,415,396-8400
56,0,91,179,301,12,2,0,0,0,90,15,115,15,89,14,8,3,OH,408,349-2654
117,0,169,241,205,16,0,0,0,0,137,29,107,21,106,9,4,4,DE,415,417-2716
63,0,154,287,230,7,2,0,0,0,81,26,115,24,85,10,5,2,IA,510,402-1725
126,0,226,140,209,6,0,0,0,0,88,38,114,12,110,9,2,2,VT,415,403-3229
132,0,192,207,272,13,1,0,0,0,107,33,127,18,88,12,2,3,OR,510,353-6056
81,28,168,191,193,9,4,1,0,1,147,29,105,16,103,9,6,2,NV,415,399-9802
122,0,180,145,234,12,2,0,0,0,88,31,77,12,120,11,6,3,NC,415,366-7069
46,0,257,261,204,13,2,1,0,0,67,44,91,22,107,9,5,4,NJ,408,332-5949
150,28,174,170,202,11,1,0,0,1,75,30,80,14,130,9,4,3,MN,415,393-6376
99,0,160,155,256,8,1,0,0,0,83,27,121,13,114,12,3,2,ID,408,354-7025
87,0,237,223,173,11,1,0,0,0,124,40,87,19,81,8,3,3,AL,408,351-6585
108,0,103,242,170,8,1,0,0,0,129,18,103,21,89,8,3,2,AK,415,330-5462
101,0,154,234,196,12,4,0,0,0,89,26,89,20,77,9,2,3,VT,415,407-2292
53,0,205,161,150,11,3,0,0,0,86,35,95,14,142,7,2,3,PA,415,340-3011
132,39,176,187,226,9,2,0,0,1,93,30,94,16,118,10,3,2,AK,415,345-9153
158,0,156,224,221,9,2,0,0,0,123,27,112,19,116,10,8,2,CA,510,379-5503
114,34,154,221,209,10,0,0,0,1,109,26,142,19,103,9,5,3,MS,415,389-6790
77,23,210,184,206,7,2,0,0,1,73,36,63,16,111,9,3,2,AR,415,408-3610
144,0,150,286,191,9,0,0,1,0,69,26,73,24,121,9,15,3,NV,415,375-8238
91,23,232,186,191,12,3,0,0,1,97,40,88,16,128,9,3,3,AL,510,378-5633
58,0,165,116,194,13,2,0,0,0,100,28,87,10,118,9,5,3,GA,408,389-9120
5,0,199,187,214,13,3,0,0,0,106,34,12,16,85,10,3,4,AR,415,380-2758
97,0,218,321,151,4,0,0,0,0,81,37,51,27,110,7,3,1,MA,408,402-2728
107,0,212,150,220,8,3,0,0,0,95,36,88,13,111,10,2,2,NJ,415,354-9062
142,30,154,166,270,11,1,0,0,1,75,26,97,14,83,12,5,3,MO,415,417-2054
9,31,194,203,191,13,1,0,0,1,130,33,98,17,102,9,2,4,NY,408,353-1941
73,0,175,248,122,12,0,0,0,0,130,30,105,21,85,6,4,3,AZ,415,328-1522
48,22,152,259,263,16,2,1,0,1,63,26,131,22,109,12,5,4,NJ,510,408-4529
43,0,230,187,128,9,0,0,0,0,147,39,121,16,100,6,3,2,WV,408,417-5320
122,33,175,248,165,14,1,1,0,1,103,30,105,21,116,7,3,4,NM,408,370-9755
93,0,190,262,130,9,0,0,0,0,68,32,64,22,92,6,4,2,SC,415,372-4835
85,0,176,225,220,12,1,0,0,0,122,30,123,19,50,10,1,3,VT,415,334-6605
59,0,161,251,273,5,3,0,0,0,95,27,65,21,97,12,5,1,TN,415,399-5564
87,0,229,163,154,12,1,0,0,0,90,39,99,14,90,7,3,3,LA,415,392-2887
137,0,144,182,128,12,0,0,0,0,90,24,100,15,93,6,2,3,OH,408,328-2110
21,31,136,271,179,10,6,0,0,1,90,23,84,23,89,8,7,3,OR,510,383-5976
129,0,334,192,191,10,0,1,0,0,118,57,104,16,83,9,6,3,DE,510,332-6181
104,0,131,131,265,13,0,0,0,0,77,22,117,11,63,12,6,4,KY,415,330-5255
93,21,134,163,187,12,4,1,0,1,105,23,128,14,90,8,2,3,GA,408,413-5190
63,0,278,266,224,13,4,1,0,0,102,47,114,23,118,10,4,4,VT,415,394-7447
161,0,105,215,224,8,0,0,0,0,70,18,122,18,126,10,5,2,OR,415,353-7096
50,0,189,204,152,12,3,0,0,0,94,32,104,17,124,7,8,3,TX,510,395-6002
103,24,112,240,268,7,1,0,0,1,85,19,102,20,81,12,4,2,MO,408,372-9816
84,33,159,150,213,13,1,0,0,1,106,27,101,13,108,10,18,4,ND,415,400-7253
92,0,212,225,221,9,1,0,0,0,105,36,118,19,105,10,4,2,MN,510,344-7470
77,0,142,306,197,10,1,0,0,0,112,24,111,26,82,9,1,3,NV,415,378-8572
64,0,347,250,275,13,1,1,1,0,55,59,79,21,102,12,9,4,NY,415,345-9140
159,15,114,145,195,12,1,0,0,1,102,19,146,12,137,9,9,3,FL,415,340-5460
110,27,268,263,178,8,1,1,1,1,103,46,74,22,106,8,2,2,KS,415,369-8024
138,0,171,115,225,17,3,0,0,0,117,29,128,10,115,10,4,5,NV,510,395-8595
178,0,275,188,147,14,1,0,0,0,150,47,62,16,126,7,3,4,NV,408,359-4587
38,31,197,250,299,4,0,0,0,1,118,34,70,21,104,13,2,1,SC,415,375-5439
50,35,193,135,216,8,2,0,0,1,97,33,101,11,101,10,2,2,MI,415,361-3779
45,26,92,151,63,8,1,0,0,1,104,16,119,13,103,3,5,2,MI,510,375-8934
70,0,126,142,256,10,0,0,0,0,99,21,106,12,96,12,2,3,TN,510,395-4757
147,33,252,234,213,10,3,0,0,1,107,43,110,20,87,10,6,3,NY,510,421-7205
94,0,191,152,145,8,1,0,0,0,108,32,95,13,97,7,5,2,NV,510,379-8805
179,0,116,202,182,12,0,0,0,0,101,20,99,17,103,8,5,3,IL,510,348-2150
116,0,217,216,148,11,2,0,0,0,91,37,95,18,76,7,3,3,MS,415,417-9128
59,0,179,233,176,15,0,0,0,0,80,31,99,20,105,8,3,4,ND,510,351-4226
165,0,208,165,55,8,0,0,0,0,109,35,94,14,91,2,3,2,NC,415,330-6630
133,0,277,228,117,13,2,1,0,0,138,47,117,19,103,5,4,3,MI,408,387-9137
140,0,125,168,261,8,1,0,0,0,84,21,121,14,94,12,4,2,TN,415,372-3987
93,32,138,167,239,7,2,0,0,1,91,23,72,14,115,11,3,2,VT,408,408-5183
52,38,169,226,172,8,0,0,0,1,88,29,97,19,86,8,3,2,OK,510,412-9357
64,27,201,144,150,12,1,0,0,1,101,34,89,12,127,7,3,3,DE,415,402-3599
12,0,217,117,220,10,2,0,1,0,117,37,126,10,110,10,4,3,ND,510,379-5211
48,0,190,318,133,8,2,0,0,0,92,32,85,27,113,6,4,2,OR,415,405-9217
181,0,143,196,223,6,1,0,0,0,91,24,58,17,95,10,7,2,NY,408,340-9200
168,42,97,204,174,11,2,0,0,1,57,17,98,17,124,8,2,3,MO,415,339-9026
155,0,181,168,169,11,3,0,0,0,111,31,92,14,122,8,3,3,FL,415,343-4772
105,0,246,256,169,4,0,0,0,0,83,42,101,22,151,8,4,1,ND,510,345-2108
11,0,143,289,194,10,2,0,0,0,130,24,50,25,100,9,6,3,NY,415,401-4650
182,0,105,199,258,8,2,0,0,0,111,18,120,17,91,12,5,2,ND,415,400-3945
104,0,156,193,223,13,1,0,0,0,93,27,54,16,94,10,5,4,NY,415,338-3781
102,0,115,82,304,12,0,0,0,0,125,20,126,7,101,14,4,3,OH,415,342-6316
122,0,233,206,214,12,0,0,0,0,96,40,120,17,91,10,2,3,AL,415,336-5920
41,0,144,152,194,9,1,0,0,0,117,24,108,13,110,9,3,2,SC,415,332-1060
132,0,177,244,176,9,2,0,0,0,132,30,80,21,120,8,4,2,GA,415,418-3426
76,0,263,230,171,11,1,1,0,0,148,45,69,20,101,8,5,3,WY,415,408-6326
13,0,146,149,217,11,1,0,0,0,74,25,92,13,96,10,3,3,WV,415,334-6142
115,33,145,195,242,14,2,0,0,1,72,25,157,17,138,11,3,4,HI,415,336-6128
67,0,168,168,110,8,1,0,0,0,91,29,69,14,71,5,12,2,WV,408,406-6708
154,0,167,155,189,7,0,0,0,0,99,28,97,13,89,9,5,2,LA,510,388-8670
100,0,143,196,122,8,2,0,0,0,87,24,88,17,117,5,8,2,AR,510,363-5853
146,0,133,263,214,11,1,0,1,0,65,23,93,22,128,10,3,3,AK,510,383-6544
148,11,253,284,263,12,1,0,0,1,129,43,88,24,99,12,1,3,DC,415,378-2940
67,28,95,291,160,10,2,0,0,1,94,16,73,25,114,7,2,3,AL,415,338-7683
161,0,194,249,255,13,1,1,1,0,106,33,105,21,129,11,1,3,UT,510,329-2786
70,0,223,216,224,0,1,0,0,0,114,38,113,18,122,10,0,0,KS,415,369-9465
116,0,202,232,226,17,0,0,0,0,82,34,95,20,130,10,5,4,MN,510,337-3769
99,42,216,232,216,9,2,1,0,1,125,37,104,20,100,10,4,3,VA,415,400-6257
87,0,146,172,168,5,1,0,0,0,108,25,102,15,66,8,9,1,UT,415,411-6663
87,0,235,141,204,10,1,0,0,0,85,40,91,12,93,9,5,3,IN,510,384-3101
70,0,199,214,171,11,2,0,0,0,111,34,115,18,105,8,6,3,CT,408,339-5329
131,0,94,215,180,13,2,0,0,0,80,16,101,18,108,8,9,4,DE,408,388-9944
119,0,190,216,161,10,2,0,0,0,74,32,113,18,111,7,1,3,VT,510,403-1769
119,32,143,208,171,12,3,0,0,1,77,24,126,18,102,8,2,3,MO,408,390-1612
87,0,134,165,173,11,0,0,1,0,80,23,71,14,102,8,5,3,RI,510,421-7214
112,0,112,114,147,14,5,1,0,0,92,19,143,10,79,7,3,4,CA,415,338-6962
75,0,123,211,261,11,2,0,0,0,89,21,104,18,91,12,2,3,RI,415,333-9826
150,0,189,221,239,9,4,0,0,0,77,32,105,19,117,11,5,2,CT,510,411-8549
161,38,240,202,206,16,0,0,0,1,112,41,102,17,112,9,6,4,IN,510,381-9234
91,24,94,183,241,10,0,0,1,1,112,16,128,16,133,11,3,3,FL,510,387-9855
124,0,159,211,179,10,3,0,0,0,104,27,77,18,104,8,8,3,KS,415,371-6990
94,0,243,147,95,7,4,0,1,0,109,41,88,13,99,4,4,2,NY,510,417-3046
217,0,176,159,307,9,4,0,0,0,115,30,128,14,107,14,3,3,TX,408,385-7082
158,0,221,242,233,6,0,0,0,0,129,38,108,21,75,11,5,2,RI,510,365-5886
102,0,144,267,218,7,0,0,0,0,87,25,128,23,59,10,7,2,NV,415,373-5196
85,0,212,228,163,8,0,0,0,0,107,36,103,19,116,7,3,2,UT,510,327-6194
79,0,147,166,243,8,1,0,0,0,72,25,102,14,107,11,9,2,OK,510,381-4565
139,25,96,179,182,13,2,0,0,1,112,16,70,15,84,8,10,3,MN,510,357-9832
103,0,263,179,215,10,0,0,0,0,118,45,69,15,112,10,2,3,NC,415,396-4845
98,0,13,257,169,8,1,0,1,0,67,2,90,22,88,8,9,2,OR,415,378-6772
78,0,162,192,241,10,2,0,0,0,116,28,86,16,100,11,3,3,NH,408,353-4296
50,0,184,59,203,9,1,0,0,0,107,31,118,5,99,9,3,2,AK,408,362-8331
161,0,178,147,138,9,1,0,0,0,109,30,86,12,78,6,2,2,OR,415,362-4685
67,0,201,98,203,7,0,0,0,0,101,34,122,8,119,9,3,2,KS,408,383-1431
86,38,123,134,138,13,1,0,0,1,158,21,119,11,103,6,4,4,WV,415,332-2258
92,0,208,199,76,9,0,0,0,0,125,35,76,17,97,3,6,2,GA,510,375-8304
174,0,239,189,106,9,1,0,0,0,72,41,124,16,116,5,3,2,NM,415,340-5580
124,0,193,90,173,15,1,0,0,0,97,33,99,8,104,8,3,4,OH,510,362-1490
132,31,175,246,173,10,1,0,0,1,101,30,105,21,76,8,9,3,ND,415,336-4281
190,26,117,146,175,10,1,0,0,1,71,20,88,12,103,8,3,3,RI,415,361-1315
101,0,94,150,241,11,1,0,0,0,127,16,104,13,116,11,2,3,HI,510,342-5906
185,30,154,119,258,13,2,0,1,1,114,26,106,10,105,12,3,3,WY,415,405-7904
68,29,240,204,168,10,0,0,0,1,82,41,105,17,70,8,6,3,NY,415,349-4762
117,25,216,224,268,12,0,0,0,1,140,37,69,19,112,12,4,3,KS,510,385-3263
118,0,187,178,233,12,1,0,0,0,97,32,89,15,97,11,6,3,LA,408,405-9496
124,0,167,233,110,10,0,0,0,0,119,28,143,20,115,5,5,3,PA,415,396-6775
22,0,160,218,193,13,1,0,0,0,108,27,88,19,115,9,4,3,NV,510,393-6475
75,0,143,209,173,12,1,0,0,0,92,24,142,18,96,8,9,3,MN,415,379-7779
134,0,205,241,179,5,1,0,0,0,122,35,155,20,107,8,9,1,PA,408,408-8650
164,25,219,152,50,14,1,0,0,1,88,37,99,13,60,2,6,4,MO,408,400-3497
44,0,143,170,216,8,1,0,0,0,77,24,114,14,77,10,4,2,NY,510,407-9244
177,0,233,175,212,13,2,0,0,0,106,40,97,15,77,10,7,3,ME,415,406-8809
110,0,162,248,156,9,0,0,0,0,81,28,89,21,99,7,8,2,NH,408,358-1778
53,27,26,207,228,7,1,0,0,1,119,4,96,18,64,10,7,2,WY,415,337-4339
108,0,154,112,246,15,4,1,0,0,123,26,86,10,75,11,4,4,NY,415,344-7197
80,0,322,222,163,7,0,1,0,0,113,55,95,19,123,7,8,2,ME,408,333-7631
158,0,210,221,210,8,1,0,0,0,112,36,82,19,93,9,3,2,MN,408,372-6623
114,0,192,175,220,0,0,0,0,0,88,33,78,15,118,10,0,0,OH,415,363-2602
64,19,291,227,219,8,1,0,0,1,150,49,123,19,67,10,2,2,NC,408,387-7757
